name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Aoife,Ireland,Budget Double Room,3 nights ·,July 2025,Family,Very good,"The staff were so helpful and friendly at every turn. The hotel is very well located with lots of good restaurants nearby. It is about 3 min walk from Sao Bento and 5 from the shopping street, Rua Santa Catarina. The room we had was spacious with a very large bed. Breakfast had a good variety of fresh food.","The window in the bedroom was high up with no view, apart from that I cannot fault our stay.",,8.0
Christian,Germany,Triple Room,1 night ·,June 2025,Family,Superb,"centrally located, close proximity to the down town hot spots (e.g. train station Sao Bento). Walking distance to the Douro river.",The locking system of the room door is outdated and needs an upgrade,,9.0
Navrita,Belgium,Budget Single Room,1 night ·,July 2025,Solo traveller,Superb,"Very well located, and personnel very kind and helpful.",,,9.0
Josephus70,Netherlands,Basic Double Room,2 nights ·,July 2025,Couple,Superb,Very nice staff that facilitated all our requests. Location is also excellent close to center and very nice bars.,,,9.0
Selin,Turkey,Budget Double Room,1 night ·,July 2025,Couple,"Comfortable, clean and secure environment.","Staff were efficient, friendly and looked after our luggage with care. The room was very clean and bed was v comfortable. The hotel was in the centre of town and close to the airport.",,,9.0
Alan,United Kingdom,Budget Double Room,4 nights ·,May 2025,Couple,"Nice city, but a bit too busy for us. Found a couple of craft beer pubs that were just great.",Odd shaped room. Nice breakfast but had to wait to be seated. Quirky place - which is why we chose it. Central location,,,7.0
R,Bulgaria,Budget Double Room,2 nights ·,July 2025,Couple,Retro hotel in all aspects with good location.,The location is good - not far from the old town and the river. Clean.,"Small room - you bare have space to open a large suitcase. Not a hotel's own parking, but public parking app 100 meters away, so you have to push/pull your luggage to the hotel. Breakfast is on a shifts due to the limited space.",,7.0
Canan,Turkey,Budget Single Room,2 nights ·,July 2025,Solo traveller,Very good,It was very central. Hotel decoration was unique. Staff was excellent,It was very noisy even though I was on 5th floor. I couldnt sleep.,,8.0
Diana,Romania,Budget Double Room,1 night ·,July 2025,Couple,Good for one night,Breakfast and the mattress,It is an old hotel overall,,7.0
Rodolfo,Australia,Budget Double Room,3 nights ·,July 2025,Family,Dishonest description of parking facilities resuled in extra costs and limited my search for other options.,The decoration is dated but fun and with character. Breakfast was fine and had everything we needed.,"There’s NO PARKING. My search had a filter for places with parking only, and this hotel showed as an option. Parking is from a third party and down the road. You need to pay 24 Euros. I could have considered other hotels nearby, but I was fooled by the fine print description.",,7.0
Terry,United Kingdom,Quadruple Room,7 nights ·,July 2025,Family,Very friendly staff and a hearty breakfast. Good location.,Central location and very nice staff. Breakfast was very nice.,Rooms were a bit tired but well maintained.,,7.0
Ana,Germany,Budget Single Room,1 night ·,July 2025,Solo traveller,Great stay in downtown Porto,"Nice staff, the rooms are clean and spacious.",The decoration of the hotel can improve.,,9.0
Mo,United Kingdom,Basic Double Room,5 nights ·,June 2025,Couple,Pao de Acucar Hoyel,N/A,N/A,,9.0
Scott,United States,Deluxe Double Room with Balcony,5 nights ·,July 2025,Couple,Great hotel downtown Porto!,Great location right downtown. Room and bathroom was outstanding. Bed was very comfortable. Breakfast was very good.,"Parking deal with hotel and parking lot was not clearly understood by both parties. Being a hotel guest gets you a deal of 1€ per hour with max 24€ for 24 hours. If not a guest, you would pay 2€ per hour. But the parking lot charges the hotel guest 24€ even if you park for 8 hours (over night).",,9.0
Mariusz,Canada,Twin Room,4 nights ·,July 2025,Couple,Enjoyable stay in a strategically located character hotel 🏨 Recommended for adventurous travelers.,"Excellent location allowing us to explore the city by foot. Some extraordinary restaurants are reachable within few minutes: Churrasqueira Moura and Lagostim. This hotel is for travelers who enjoy being immersed and in touch with retro paraphernalia from everyday life, we certainly did 😀 Breakfast is well composed and provides to many palates. I especially liked the choice of many pastries in small sizes, so I could try all of them. Staff is very friendly and accommodating.","I didn't realize there's a construction nearby and didn't book a quiet room. The construction however happened only during the day and on weekdays, so in the end the level of noise was acceptable.",,9.0
Barbara,United States,Budget Double Room,1 night ·,July 2025,Solo traveller,Fun decor,"Great location, clean, safe and fun decor.",You must leave your key at the desk each and every time you depart the hotel. This is annoying if you are in and out often during the day and night.,,7.0
Jonathan,United Kingdom,Budget Double Room,3 nights ·,July 2025,Couple,Very good,Location and quirky style,,,8.0
Ryan,United States,Budget Double Room,3 nights ·,July 2025,Solo traveller,Cute little hotel in a great location,Great shower and cool hotel in a good location. Would recommend,The pillows were very soft and the mattress was very firm. The door from my room wasn’t sound proofed so unless I wore earplugs I could hear people walking open and down the hallway every morning loudly,,8.0
Gkitazum,United States,Twin Room,1 night ·,June 2025,Group,Very good,How staff greeted us and the breakfast werevery nice Our room had two sets of bathrooms,None,,8.0
Angela,Ireland,Two-Bedroom Suite,4 nights ·,June 2025,Group,Superb,"The hotel was very central, continental breakfast had something for everyone, staff in the breakfast room were lovely, a special mention to the reception staff Gabrielle and Erickson who were most helpful and friendly and happy to help.",,,9.0
Anthony,Netherlands,Twin Room,6 nights ·,June 2025,Group,Superb,"- The location was SUPER! close to the metro station, close to the city center, close to the water, close to the sao joao festivities. Perfect. - Room was clean, and was cleaned every day; - Bathroom was pretty modern and good water pressure - The people working there are super nice!","- There wasn't an electricity plug available next to the bed. I had to take out a lamp; - The breakfast was good, but a bit basic. Don't expect too much; - It's not really a bad thing perse, but I didnt look at all the pictures before booking. There are a lot of bumpercart-memorabilia. Not my thing, but make sure you look at the pictures haha",,9.0
Bonham,United Kingdom,Budget Double Room,7 nights ·,June 2025,Couple,I liked the collection of memorabilia,"Location good, 15 minutes walk down to the river. Room very comfortable with large bed. Breakfast was very good albeit the dining room had no natural light.",Shower over bath a little tricky to access. Breakfast was very good albeit the dining room had no natural light.,,8.0
Kenneth,United Kingdom,Budget Double Room,4 nights ·,June 2025,Couple,Superb,Easy to get to. Near two metro stations. Plenty of eating options nearby.,Nothing.,,9.0
Paquette,Portugal,Superior Double Room,2 nights ·,May 2025,Couple,Very good,The hotel was well situated.It was clean.,,,8.0
